claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes,human_category_correct,human_is_securitising,human_securitisation_type,human_confidence,human_notes
6976,a5510c169a12,"Україну стільки разів хотіли знищити, але не змогли – звернення Президента Володимира Зеленського",2022-03-03,https://www.president.gov.ua/news/ukrayinu-stilki-raziv-hotili-znishiti-ale-ne-zmogli-zvernenn-73297,material_security,оборона,оборони,Усі лінії нашої оборони збережені .,"Ракетно - бомбові удари Росії по українських містах – це зізнання , що не змогли зробити нічого суттєвого на нашій землі .",На жодному зі стратегічних напрямків у ворога немає успіху .,yes,no,none,none,none,none,high,,,,,,
6274,92c1898797ce,Маємо максимально завдавати ураження всім російським позиціям і робимо це – звернення Президента,2024-08-16,https://www.president.gov.ua/news/mayemo-maksimalno-zavdavati-urazhennya-vsim-rosijskim-pozici-92637,church_actors,церква,церквою,"Верховній Раді запропоновано законопроєкт , який може реально гарантувати , що не буде жодних маніпуляцій із Москви українською церквою .",І вдячний за підтримку нашого курсу на духовну незалежність України .,"Цей законопроєкт повинен спрацювати й повинен додати Україні соборності , реальної нашої єдності духовної .",yes,yes,both,church_independence,Moscow_Patriarchate,ban,high,Bill proposed to Rada guaranteeing no Moscow manipulation of Ukrainian church. Explicit extraordinary measure targeting Moscow Patriarchate influence.,,,,,
4388,67f531b56cda,"Системи ППО, які є у світі, не можуть просто припадати пилом десь на базах, коли вони можуть урятувати тисячі життів від російського терору – звернення Президента",2024-04-02,https://www.president.gov.ua/news/sistemi-ppo-yaki-ye-u-sviti-ne-mozhut-prosto-pripadati-pilom-90005,decolonisation,окупант,окупанти,"І , звичайно , ми цінуємо зусилля церков у комунікації з християнами світу , щоб усюди люди знали правду про війну тут , про російське зло , про ті злочини , які вчиняють окупанти .","Це те , що справді підтримує на фронті : мають бути ті , хто допоможе людському духу знайти необхідну опору .",Цей діалог між церквами й громадами – діалог правди – ефективний .,yes,no,none,none,none,none,high,,,,,,
2943,49293ef4ff5e,За цей тиждень ми додали Україні нових домовленостей щодо зброї – звернення Президента,2024-10-12,https://www.president.gov.ua/news/za-cej-tizhden-mi-dodali-ukrayini-novih-domovlenostej-shodo-93817,ontological_security,духовний,духовну,"Дуже важливо , щоб більше представників церков і релігійних спільнот , усі , хто працює на духовну незалежність України , долучались до військової служби Україні , були ближче до хлопців на передовій – передусім у бойових бригадах , саме там , де найбільш потрібно .","Духовні отці з різних конфесій , які служать , щоб наші воїни мали духовну підтримку та правильну пораду , світлу надію .","Я дякую кожному військовому капелану , який служить саме так – з нашими українськими воїнами .",yes,yes,ontological,nation,Russia,none,medium,"Those working for spiritual independence of Ukraine should join military service, be closer to soldiers on the front. Links spiritual independence to military effort.",,,,,
1093,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,decolonisation,незалежність,незалежності,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan.",,,,,
1139,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,decolonisation,незалежність,незалежність,"В межах саме цього діалогу можемо визначати , які моделі більшої співпраці здатні зміцнити нашу державу та всіх наших людей , нашу духовну незалежність , нашу соціальну роботу в Українській державі .","В Україні є глобально важливий інституційний приклад такої співпраці – Рада церков і релігійних організацій , і на базі цієї інституції сформовано вже діалог між державою та всіма релігійними спільнотами України .","Звичайно , не йдеться про московську церкву .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"Through dialogue with Council of Churches, determining models to strengthen spiritual independence.",,,,,
10460,fd7625840771,"Кожен день спротиву створює для України кращі умови на переговорах, щоб гарантувати наше майбутнє у мирі – звернення Президента Володимира Зеленського",2022-03-07,https://www.president.gov.ua/news/kozhen-den-sprotivu-stvoryuye-dlya-ukrayini-krashi-umovi-na-73417,decolonisation,окупант,окупанти,"Ми не боїмося разом з вами , коли окупанти відкривають вогонь та намагаються всіх розігнати .",Ми стоїмо на площах і на вулицях разом з вами .,Ви не відступаєте .,yes,no,none,none,none,none,high,,,,,,
705,1092f016762c,Більше систем ППО та засобів ураження російської авіації означає ближчий мир – звернення Президента України,2024-03-10,https://www.president.gov.ua/news/bilshe-sistem-ppo-ta-zasobiv-urazhennya-rosijskoyi-aviaciyi-89621,church_actors,церква,церков,"В Україні багато було колись білих стін будинків і церков , які зараз обпалені та розбиті російськими снарядами .","Російські вбивці та катівні не йдуть далі Європою лише тому , що їх стримують українці й українки зі зброєю в руках та під синьо - жовтим прапором .","І це дуже красномовно говорить , хто саме повинен зупинитись , щоб війна зупинилась .",yes,no,none,none,none,none,high,,,,,,
4867,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,church_actors,релігійний,релігійному,"Всім органам , до компетенції яких належить питання у сфері забезпечення національної безпеки , активізувати заходи з виявлення та протидії підривній діяльності російських спецслужб у релігійному середовищі України .",Четверте .,І застосувати персональні санкції – прізвища будуть оприлюднені невдовзі .,yes,yes,material,state,Russia,sanctions,high,National security organs to counter subversive activity of Russian special services in Ukrainian religious environment. Followed by personal sanctions.,,,,,
4861,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,church_actors,релігійний,релігійних,"Засідання , на якому ми розглянули численні факти зв’язків окремих релігійних кіл в Україні з державою - агресором .",Сьогодні відбулося засідання РНБО .,"На жаль , навіть російський терор і повномасштабна війна не переконали деяких діячів у тому , що варто подолати спокусу зла .",yes,yes,material,state,UOC-MP,other,high,NSDC examined 'links of certain religious circles with the aggressor state'. Frames UOC-MP as security threat via foreign state ties.,,,,,
9891,efbad3182c3d,"Цінуємо кожне життя, пам’ятаємо історію і разом захищаємо свободу – звернення Президента України",2023-07-09,https://www.president.gov.ua/news/cinuyemo-kozhne-zhittya-pamyatayemo-istoriyu-i-razom-zahisha-84229,material_security,оборона,оборони,"Проаналізували підготовку й забезпечення наших сил оборони та безпеки , відповідних підрозділів на Волині .","Були доповіді військових , правоохоронців , місцевої влади .","Була доповідь щодо соціальної ситуації в області , потреб людей .",yes,no,none,none,none,none,high,,,,,,
2971,4aaca8be34af,Обговорили з партнерами роботу щодо ППО – нових систем для України; готуємо посилення – звернення Президента,2024-08-20,https://www.president.gov.ua/news/obgovorili-z-partnerami-robotu-shodo-ppo-novih-sistem-dlya-u-92713,material_security,оборона,Оборона,Оборона на Покровському й Торецькому напрямках .,Фронт .,"Важка ситуація , але хлопці роблять усе , щоб знищувати окупанта .",yes,no,none,none,none,none,high,,,,,,
8005,bbe72d41a03f,"Зараз час, коли всі історичні складнощі для України можемо перемогти, якщо будемо берегти нашу єдність – звернення Президента України",2023-03-12,https://www.president.gov.ua/news/zaraz-chas-koli-vsi-istorichni-skladnoshi-dlya-ukrayini-mozh-81581,ontological_security,духовний незалежність,духовної незалежності,Є цього тижня рух і на зміцнення нашої духовної незалежності .,"Разом , у єдності ми прийдемо до перемоги .",Суспільство це бачить .,yes,yes,ontological,nation,Russia,none,high,Progress on strengthening spiritual independence. Ongoing securitisation narrative.,,,,,
8851,d20b129022a4,"Стратегія захисту для кожної цивілізованої держави – тиснути на Росію, щоб відновити мир – звернення Президента України",2022-04-09,https://www.president.gov.ua/news/strategiya-zahistu-dlya-kozhnoyi-civilizovanoyi-derzhavi-tis-74225,church_actors,церква,церкви,"Вдячний за це рішення ієрархам , духовенству та вірним Української православної церкви США .",І свого часу вона буде вдома – у Святій Софії .,"Хочу , щоб повернення цієї святині стало для всіх нас важливим символом .",yes,no,none,none,none,none,high,,,,,,
8001,bbe72d41a03f,"Зараз час, коли всі історичні складнощі для України можемо перемогти, якщо будемо берегти нашу єдність – звернення Президента України",2023-03-12,https://www.president.gov.ua/news/zaraz-chas-koli-vsi-istorichni-skladnoshi-dlya-ukrayini-mozh-81581,ontological_security,духовний,духовної,Є цього тижня рух і на зміцнення нашої духовної незалежності .,"Разом , у єдності ми прийдемо до перемоги .",Суспільство це бачить .,yes,yes,ontological,nation,Russia,none,high,Progress on strengthening spiritual independence. Ongoing securitisation narrative.,,,,,
2439,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,ontological_security,духовний,духовну,"Україна вистоїть , збереже незалежність – усі аспекти незалежності , зокрема і духовну .","Держава ніколи не допустить , щоб будь-яку з українських релігійних спільнот могла використовувати держава - агресор .","І я вдячний усім у світі , хто підтримує в цьому нашу державу , наших людей .",yes,yes,ontological,nation,Russia,none,high,Ukraine will preserve independence - including spiritual independence. Explicit ontological securitisation.,,,,,
5433,7fa17a24c64c,Звернення Президента до учасників саміту Міжнародної коаліції за повернення українських дітей на рівні лідерів,2025-09-23,https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-samitu-mizhnarodnoyi-koa-100285,church_actors,церква,церкви,"Усе це відомо – табори , де викрадених дітей навчають ненависті , установи , причетні до цього , навіть структури російської державної церкви , які використовуються для знищення української ідентичності дітей .","І я закликаю вас : у кожному пакеті санкцій посилюйте тиск на російських політиків , чиновників , суддів , пропагандистів та інших осіб , причетних до викрадення дітей і спроб « перепрограмувати » їхню свідомість .","І кожен , хто не заплющує очі та діє у відповідь , захищає людство .",yes,yes,ontological,identity,Russia,none,high,Russian state church structures used to destroy Ukrainian identity of deported children. Links church structures to identity destruction.,,,,,
8455,c850aa5c1c24,"Наша тактика – коли супротивник не знає, чого від нас чекати – звернення Президента України",2022-03-18,https://www.president.gov.ua/news/nasha-taktika-koli-suprotivnik-ne-znaye-chogo-vid-nas-chekat-73645,decolonisation,окупант,окупантів,"На кожен удар окупантів по наших мирних містах , по наших людях .",І відповідають на кожну атаку .,У полон взяті нові російські строковики .,yes,no,none,none,none,none,high,,,,,,
4877,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,ontological_security,духовний незалежність,духовну незалежність,"Забезпечимо , зокрема , духовну незалежність .",Ми вже вибороли це й забезпечимо для нашої держави всю повноту незалежності .,Ми ніколи й нікому не дозволимо будувати імперію всередині української душі .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Declarative framing: Ukraine will guarantee spiritual independence. Implies Moscow Patriarchate connection threatens spiritual sovereignty.,,,,,
221,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,санкція,санкції,Потрібно перекрити всі можливості Росії обходити санкції .,"Той факт , що Росія не шукає миру й демонстративно вбиває навіть на Великдень , свідчить , що потрібен більший санкційний тиск .","Тож ми передали партнерам спеціальний План щодо посилення санкцій проти Російської Федерації , який розробила міжнародна експертна група під керівництвом Андрія Єрмака та Майкла Макфола .",yes,no,none,none,none,none,high,,,,,,
6278,92c1898797ce,Маємо максимально завдавати ураження всім російським позиціям і робимо це – звернення Президента,2024-08-16,https://www.president.gov.ua/news/mayemo-maksimalno-zavdavati-urazhennya-vsim-rosijskim-pozici-92637,ontological_security,духовний незалежність,духовну незалежність,І вдячний за підтримку нашого курсу на духовну незалежність України .,Говорив із членами Ради церков та релігійних організацій .,"Верховній Раді запропоновано законопроєкт , який може реально гарантувати , що не буде жодних маніпуляцій із Москви українською церквою .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Grateful for support of 'our course toward spiritual independence of Ukraine'. Council of Churches endorsement.,,,,,
2302,3ca1baf500c3,Промова Президента України Володимира Зеленського у Фолькетингу,2022-03-29,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-volodimira-zelenskogo-u-folketin-73925,material_security,загроза,загрози,Вони не становили жодної загрози для Росії .,Жодних войовничих мрій у миколаївців не було .,"Але і вони , як і всі інші українці , повірте мені , стали мішенню для російських військ .",yes,no,none,none,none,none,high,,,,,,
9180,dbc0cec4a560,"Ворог свободи має програти, ось чому ми звертаємося по підтримку до Сполучених Штатів – виступ Президента України на зустрічі з членами Національної асоціації губернаторів США",2023-04-04,https://www.president.gov.ua/news/vorog-svobodi-maye-prograti-os-chomu-mi-zvertayemosya-po-pid-82085,material_security,оборона,оборони,"Дякую Арканзасу та всім працівникам оборонної індустрії штату за чудові системи « Хаймарс » , які реально змінюють перебіг бойових дій і змушують російську армію до глухої оборони .",Дякую всім вам .,"Дякую Алабамі та всім працівникам підприємств штату , які виробляють , зокрема , протитанкові системи « Джавелін » , що врятували життя тисячам і тисячам українських воїнів .",yes,no,none,none,none,none,high,,,,,,
1091,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,material_security,санкція,санкції,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan.",,,,,
9013,d737ea63f60a,"Ми повинні зробити все, щоб 25-й рік став для України роком миру – виступ Президента з нагоди Дня дипломата",2024-12-22,https://www.president.gov.ua/news/mi-povinni-zrobiti-vse-shob-25-j-rik-stav-dlya-ukrayini-roko-95169,decolonisation,незалежність,незалежність,"Ми проходимо вже третій рік повномасштабної війни , зберігаючи незалежність України , свій суверенітет і здатність нашої держави досягти й досягати необхідних результатів .","Вітаю вас із професійним днем та вдячний вам за роботу заради інтересів України , інтересів кожного й кожної в нашій державі , наших людей .","За рік , що минає , Україна змогла стати сильніше , змогла стати ближче до мети , яка обʼєднує увесь наш народ : нам потрібно здолати окупанта , перемогти це зло , нам потрібен справедливий мир , і кожен , кожна з вас повинні працювати саме заради цього .",yes,no,none,none,none,none,high,,,,,,
1105,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,material_security,оборона,оборони,"І звертаюся до командирів усіх рівнів нашої держави , у наших Силах оборони й безпеки України : обовʼязково дослухайтесь до інноваційних пропозицій підлеглих , бережіть , будь ласка , тих , хто впроваджує технології , і поширюйте досвід найкращих рот і батальйонів у бригадах .",Але самі бригади часто бувають іще швидшими у визначенні та заповненні потреб .,"Дорогі українці , дорогі українки !",yes,no,none,none,none,none,high,,,,,,
8459,c850aa5c1c24,"Наша тактика – коли супротивник не знає, чого від нас чекати – звернення Президента України",2022-03-18,https://www.president.gov.ua/news/nasha-taktika-koli-suprotivnik-ne-znaye-chogo-vid-nas-chekat-73645,material_security,оборона,оборони,Для нашої оборони .,"Усе , що ми зробили за декілька років .",Для нашої тактики .,yes,no,none,none,none,none,high,,,,,,
4878,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,ontological_security,духовний незалежність,духовну незалежність,Цими та іншими рішеннями ми гарантуємо Україні духовну незалежність .,"Відбудеться реформа цієї структури , яка дасть їй змогу реально захищати права та законні інтереси українців і держави .",Хочу підкреслити : у 1991 році наша держава стала саме на законний і демократичний шлях .,yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Summary statement: 'With these decisions we guarantee Ukraine spiritual independence.' Links NSDC extraordinary measures to ontological security.,,,,,
8829,d16210c4d3a2,"Запрошую вас будувати зв'язки між людьми, які триватимуть завжди – виступ Президента України під час зустрічі Національної асоціації губернаторів США",2024-07-09,https://www.president.gov.ua/news/zaproshuyu-vas-buduvati-zvyazki-mizh-lyudmi-yaki-trivatimut-92153,material_security,безпека,безпеку,"Їхні батьки повинні відчувати хоча б базову безпеку – мати можливість жити , працювати й забезпечувати свої сім'ї .",Дітям також потрібно ходити до школи .,"Вдумайтеся в цифри : Росія зруйнувала майже 160 тисяч цивільних об'єктів , лише житлових будинків – 130 тисяч , 3 тисячі шкіл , 700 медичних установ і 170 церков .",yes,no,none,none,none,none,high,,,,,,
1077,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,material_security,ворог,ворог,"І ми всі маємо розуміти , за що ворог сплачує таку ціну .","Саме там і на суміжних оборонних напрямках на нашій українській Донеччині , на нашій Харківщині Росія пішла на найбільший рівень своїх втрат за цю війну .","Росія хоче руйнації нас , нашої держави , наших людей , руйнації нашої стійкості .",yes,no,none,none,none,none,high,,,,,,
4869,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,ontological_security,духовний,духовну,Цими та іншими рішеннями ми гарантуємо Україні духовну незалежність .,"Відбудеться реформа цієї структури , яка дасть їй змогу реально захищати права та законні інтереси українців і держави .",Хочу підкреслити : у 1991 році наша держава стала саме на законний і демократичний шлях .,yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Summary statement: 'With these decisions we guarantee Ukraine spiritual independence.' Links NSDC extraordinary measures to ontological security.,,,,,
6662,9e18ffdfcc12,"Щоб перемогти тиранію, потрібне більше єднання; демократичний світ здатен його досягти – звернення Володимира Зеленського",2023-03-29,https://www.president.gov.ua/news/shob-peremogti-tiraniyu-potribne-bilshe-yednannya-demokratic-81929,ontological_security,духовний,духовної,"Плюс сьогодні ще й зроблений крок на зміцнення духовної незалежності нашої держави , на захист нашого суспільства від старих і цинічних московських маніпуляцій релігією .","Україна не втратила ще жодного тижня за час повномасштабної війни – постійно додаємо сили нашій державі , міцності нашим силам оборони й безпеки , впевненості нашому руху до перемоги .",Україна – це територія найбільшої релігійної свободи у нашій частині Європи .,yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,"Step taken to strengthen spiritual independence, protect society from 'old and cynical Moscow manipulations of religion'. Legislative action implied.",,,,,
1118,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,material_security,безпека,Безпека,Пункт шостий нашого Плану – « Безпека » .,"Загалом енергетичний пункт Плану стійкості буде деталізований різними додатками – як закритими , так і відкритими , що в сукупності будуть чіткою енергетичною мапою для України на найближчі роки .",Саме внутрішня безпека в Україні .,yes,no,none,none,none,none,high,,,,,,
1135,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,church_actors,церква,церков,"В Україні є глобально важливий інституційний приклад такої співпраці – Рада церков і релігійних організацій , і на базі цієї інституції сформовано вже діалог між державою та всіма релігійними спільнотами України .","За умови збереження світського характеру державних інституцій ми маємо й можемо розвивати партнерство між державою та церквою , між державою та релігійними спільнотами .","В межах саме цього діалогу можемо визначати , які моделі більшої співпраці здатні зміцнити нашу державу та всіх наших людей , нашу духовну незалежність , нашу соціальну роботу в Українській державі .",yes,no,none,none,none,none,high,,,,,,
