claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes
213,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,decolonisation,окупант,окупанти,"У Харківській області – на Ізюмському напрямку , на Донбасі – особливо біля Попасної , в Маріуполі , де триває опір захисників міста , у південних районах , де окупанти намагаються перейти в наступ .",Збройні Сили України стримують атаки російських військ на ключових напрямках .,Повітряні тривоги сьогодні вранці знову були майже по всій території нашої держави .,yes,no,none,none,none,none,high,
214,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,загроза,загроза,"Вінницька область , Рівненська , Львівська , Одеська – ракетна загроза .",Повітряні тривоги сьогодні вранці знову були майже по всій території нашої держави .,"Росія не полишає спроб зламати наш опір , щоб ...",yes,no,none,none,none,none,high,
215,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеки,"У людей немає засобів для нормального існування , немає елементарної безпеки .","Не вистачає базових продуктів , не вистачає ліків .","Немає всього того , що було до 24 лютого .",yes,no,none,none,none,none,high,
216,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,decolonisation,звільнення,звільнення,"Всього того , що ми обов'язково повернемо після звільнення нашої землі .",Що було в Донецьку й Луганську до 2014 року .,Продовжуємо робити все для вигнання окупантів та відновлення миру для всіх наших людей .,yes,no,none,none,none,none,high,
217,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,decolonisation,окупант,окупантів,Продовжуємо робити все для вигнання окупантів та відновлення миру для всіх наших людей .,"Всього того , що ми обов'язково повернемо після звільнення нашої землі .",Ключовий елемент цього процесу – міцність Збройних Сил України .,yes,no,none,none,none,none,high,
218,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,оборона,оборони,"Допомога Україні була питанням номер один на переговорах з представниками Сполучених Штатів Америки , які вчора прибули у Київ , – Держсекретарем Ентоні Блінкеном і міністром оборони Ллойдом Остіном .","Наявність достатньої кількості та якості зброї , достатньої кількості та якості боєприпасів .",Наші переговори з ними були достатньо довгими – понад три години – і змістовними .,yes,no,none,none,none,none,high,
219,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,оборона,оборони,Серед іншого це стосується й підготовки до великої міністерської зустрічі в Німеччині у вівторок – зберуться сорок міністрів оборони держав - партнерів .,"Узгодили з американською стороною подальші кроки для зміцнення Збройних Сил України , задоволення всіх пріоритетних потреб нашої армії .","Ключове питання – захист України , захист свободи на сході Європи .",yes,no,none,none,none,none,high,
220,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,санкція,санкцій,Обговорили шляхи посилення санкцій .,"Ключове питання – захист України , захист свободи на сході Європи .","Той факт , що Росія не шукає миру й демонстративно вбиває навіть на Великдень , свідчить , що потрібен більший санкційний тиск .",yes,no,none,none,none,none,high,
221,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,санкція,санкції,Потрібно перекрити всі можливості Росії обходити санкції .,"Той факт , що Росія не шукає миру й демонстративно вбиває навіть на Великдень , свідчить , що потрібен більший санкційний тиск .","Тож ми передали партнерам спеціальний План щодо посилення санкцій проти Російської Федерації , який розробила міжнародна експертна група під керівництвом Андрія Єрмака та Майкла Макфола .",yes,no,none,none,none,none,high,
222,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,санкція,санкцій,"Тож ми передали партнерам спеціальний План щодо посилення санкцій проти Російської Федерації , який розробила міжнародна експертна група під керівництвом Андрія Єрмака та Майкла Макфола .",Потрібно перекрити всі можливості Росії обходити санкції .,Окремий пункт переговорів – фінансова підтримка для України .,yes,no,none,none,none,none,high,
223,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеки,"Впевнений , що Сполучені Штати можуть бути лідером серед майбутніх країн – гарантів безпеки України .",Продовжили й обговорення питання про безпекові гарантії для України .,"Основна мета для нас усіх – зробити Європу та світ безпечнішим після війни , гарантувати , що архітектура безпеки спрацює у випадку будь-яких нових загроз .",yes,no,none,none,none,none,high,
224,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеки,"Основна мета для нас усіх – зробити Європу та світ безпечнішим після війни , гарантувати , що архітектура безпеки спрацює у випадку будь-яких нових загроз .","Впевнений , що Сполучені Штати можуть бути лідером серед майбутніх країн – гарантів безпеки України .","Був радий почути від наших друзів підтвердження того , що Посольство Сполучених Штатів знову запрацює в Києві найближчим часом .",yes,no,none,none,none,none,high,
225,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,загроза,загроз,"Основна мета для нас усіх – зробити Європу та світ безпечнішим після війни , гарантувати , що архітектура безпеки спрацює у випадку будь-яких нових загроз .","Впевнений , що Сполучені Штати можуть бути лідером серед майбутніх країн – гарантів безпеки України .","Був радий почути від наших друзів підтвердження того , що Посольство Сполучених Штатів знову запрацює в Києві найближчим часом .",yes,no,none,none,none,none,high,
226,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,urgency,негайний,негайного,"Про ситуацію в Маріуполі та необхідність евакуації цивільних і поранених , про необхідність негайного обміну заблокованих українських військових .",Провів важливу розмову з Президентом Туреччини Ердоганом .,"Обговорили переговорний процес з Росією , оборонні питання .",yes,no,none,none,none,none,high,
227,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеки,"Якщо Росія не почне шукати мир , питання продовольчої безпеки в багатьох країнах перетвориться на питання фізичного виживання мільйонів людей , а отже , й стабільності державних систем .",Але це тільки початок .,Дедалі більше політичних лідерів світу усвідомлюють цю загрозу .,yes,no,none,none,none,none,high,
228,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,загроза,загрозу,Дедалі більше політичних лідерів світу усвідомлюють цю загрозу .,"Якщо Росія не почне шукати мир , питання продовольчої безпеки в багатьох країнах перетвориться на питання фізичного виживання мільйонів людей , а отже , й стабільності державних систем .",Тож очікуємо більшого тиску на Росію .,yes,no,none,none,none,none,high,
229,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеки,Державними нагородами України відзначені 188 військовослужбовців Збройних Сил України і п'ятеро працівників Служби безпеки України .,Вчора ж пізно ввечері після всіх зовнішньополітичних справ підписав важливі укази про нагородження наших героїв .,"Звання Героя України присвоєно полковнику Чаюку Денису Валентиновичу , заступнику командира 128-ї окремої гірсько - штурмової бригади , за особисту мужність та результативність у боях з окупантами , за знищення техніки й живої сили ворога .",yes,no,none,none,none,none,high,
230,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,decolonisation,окупант,окупантами,"Звання Героя України присвоєно полковнику Чаюку Денису Валентиновичу , заступнику командира 128-ї окремої гірсько - штурмової бригади , за особисту мужність та результативність у боях з окупантами , за знищення техніки й живої сили ворога .",Державними нагородами України відзначені 188 військовослужбовців Збройних Сил України і п'ятеро працівників Служби безпеки України .,Слава всім нашим героям !,yes,no,none,none,none,none,high,
231,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,ворог,ворога,"Звання Героя України присвоєно полковнику Чаюку Денису Валентиновичу , заступнику командира 128-ї окремої гірсько - штурмової бригади , за особисту мужність та результативність у боях з окупантами , за знищення техніки й живої сили ворога .",Державними нагородами України відзначені 188 військовослужбовців Збройних Сил України і п'ятеро працівників Служби безпеки України .,Слава всім нашим героям !,yes,no,none,none,none,none,high,
275,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,church_actors,релігійний,релігійної,"Це було народження антилюдської системи , яка катує , яка позбавляє свободи й травмує , не розбираючи віку , статі , релігійної чи етнічної приналежності , чоловіків , жінок , дітей .","Це був пролог до повномасштабної війни , яка забирає життя тисяч і тисяч людей .",Це був початок найнебезпечнішої хаотизації в міжнародних відносинах за життя кількох поколінь .,yes,no,none,none,none,none,high,
276,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,окупант,окупантами,На території Криму окупантами не просто скоєні тисячі злочинів ...,Крим відокремлений Росією від самої можливості нормального життя .,"Від 2014 року Крим – це єдина частина Європи , де тривають де - факто чистки – за релігійною та етнічною ознаками .",yes,no,none,none,none,none,high,
277,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,church_actors,релігійний,релігійною,"Від 2014 року Крим – це єдина частина Європи , де тривають де - факто чистки – за релігійною та етнічною ознаками .",На території Криму окупантами не просто скоєні тисячі злочинів ...,Якщо ти мусульманин – російські окупанти вважають тебе винним .,yes,no,none,none,none,none,high,
278,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,окупант,окупанти,Якщо ти мусульманин – російські окупанти вважають тебе винним .,"Від 2014 року Крим – це єдина частина Європи , де тривають де - факто чистки – за релігійною та етнічною ознаками .",Якщо ти киримли – російські окупанти вважають тебе винним .,yes,no,none,none,none,none,high,
279,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,окупант,окупанти,Якщо ти киримли – російські окупанти вважають тебе винним .,Якщо ти мусульманин – російські окупанти вважають тебе винним .,Якщо в тебе український паспорт – російські окупанти вважають тебе винним .,yes,no,none,none,none,none,high,
280,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,окупант,окупанти,Якщо в тебе український паспорт – російські окупанти вважають тебе винним .,Якщо ти киримли – російські окупанти вважають тебе винним .,Вдумайтеся ще раз : люди в таких умовах – уже дев’ятий рік !,yes,no,none,none,none,none,high,
281,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,окупант,окупантами,А ще – постійне свідоме знищення окупантами природи Криму .,А ще – постійна російська мілітаризація Криму .,А ще – тотальна відсутність гарантій права власності в Криму й грабунок Криму в інтересах загарбників .,yes,no,none,none,none,none,high,
282,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,church_actors,релігійний,релігійних,"Повернення українського прапора – це захист прав людини , це свобода для всіх людей у Криму , для всіх спільнот – етнічних чи релігійних .",І не може бути – Росія позбавила наш півострів ринків і розвитку .,"Це можливість вільно говорити те , що ти думаєш , і поширювати правду про те , що відбувається .",yes,no,none,none,none,none,high,
283,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,деокупація,деокупації,"Ми маємо зробити цей наш формат , формат Кримської платформи , стартом для інших гуманітарних і дипломатичних платформ , які сприятимуть деокупації інших територій , які були колись поневолені : від Придністровʼя й Абхазії до Північних територій .","Щоб повернути Криму повноцінне життя після років окупації , а людям у Криму – справедливість , наша співпраця має зберігатися на максимумі й після відновлення нашої територіальної цілісності .",А третє ...,yes,no,none,none,none,none,high,
284,059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,decolonisation,окупант,окупантів,"Я прошу вас пообіцяти мені , що ви неодмінно відвідаєте наш український , звільнений від окупантів і мирний Крим .",Це дуже важливо .,"Одразу , як повернемо туди наш національний прапор .",yes,no,none,none,none,none,high,
