doc_id,doc_title,doc_date,doc_url,n_securitising,n_non_securitising,total_claims,securitisation_types,threat_actors,extraordinary_measures,referent_objects,is_securitising_doc
c850aa5c1c24,"Наша тактика – коли супротивник не знає, чого від нас чекати – звернення Президента України",2022-03-18,https://www.president.gov.ua/news/nasha-taktika-koli-suprotivnik-ne-znaye-chogo-vid-nas-chekat-73645,0,15,15,none,none,none,none,no
966acfa2bfee,Змістовні переговори про мир і безпеку для України – єдиний шанс для Росії зменшити шкоду від власних помилок – звернення Президента Володимира Зеленського,2022-03-19,https://www.president.gov.ua/news/zmistovni-peregovori-pro-mir-i-bezpeku-dlya-ukrayini-yedinij-73661,0,11,11,none,none,none,none,no
8393fbf74df4,Виступ Президента України Володимира Зеленського на саміті НАТО,2022-03-24,https://www.president.gov.ua/news/vistup-prezidenta-ukrayini-volodimira-zelenskogo-na-samiti-n-73785,0,8,8,none,none,none,none,no
8e4821e9f609,Промова Президента України Володимира Зеленського на засіданні Європейської ради,2022-03-25,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-volodimira-zelenskogo-na-zasidan-73809,0,4,4,none,none,none,none,no
a750da14442e,"Російські війська знищують усе, що робить нас народом, але за це на них чекає відповідальність – звернення Президента Володимира Зеленського",2022-03-26,https://www.president.gov.ua/news/rosijski-vijska-znishuyut-use-sho-robit-nas-narodom-ale-za-c-73873,0,16,16,none,none,none,none,no
3ca1baf500c3,Промова Президента України Володимира Зеленського у Фолькетингу,2022-03-29,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-volodimira-zelenskogo-u-folketin-73925,0,8,8,none,none,none,none,no
e4231ecb4925,"Промова Президента України Володимира Зеленського у Генеральних штатах, парламенті Нідерландів",2022-03-31,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-volodimira-zelenskogo-u-generaln-74001,0,12,12,none,none,none,none,no
26d489f7c409,Промова Президента України у Генеральних кортесах Іспанії,2022-04-05,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-u-generalnih-kortesah-ispaniyi-74125,0,11,11,none,none,none,none,no
6ceaba47e5f7,Виступ Президента України на засіданні Ради Безпеки ООН,2022-04-05,https://www.president.gov.ua/news/vistup-prezidenta-ukrayini-na-zasidanni-radi-bezpeki-oon-74121,0,16,16,none,none,none,none,no
65a4c1046cc9,"Промова Президента України в Ерахтасі, парламенті Ірландії",2022-04-06,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-v-erahtasi-parlamenti-irlandiyi-74137,0,13,13,none,none,none,none,no
d20b129022a4,"Стратегія захисту для кожної цивілізованої держави – тиснути на Росію, щоб відновити мир – звернення Президента України",2022-04-09,https://www.president.gov.ua/news/strategiya-zahistu-dlya-kozhnoyi-civilizovanoyi-derzhavi-tis-74225,0,10,10,none,none,none,none,no
830a678fce85,Привітання Президента України Володимира Зеленського з Великоднем,2022-04-24,https://www.president.gov.ua/news/privitannya-prezidenta-ukrayini-volodimira-zelenskogo-z-veli-74529,0,6,6,none,none,none,none,no
0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,0,26,26,none,none,none,none,no
8e00bd95c521,Промова Президента України в Народних зборах Албанії,2022-05-03,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-v-narodnih-zborah-albaniyi-74745,0,16,16,none,none,none,none,no
d8face5857e2,"Усі разом маємо забезпечити, щоб Росія не мала жодного успіху в агресії проти України – звернення Президента Володимира Зеленського",2022-05-19,https://www.president.gov.ua/news/usi-razom-mayemo-zabezpechiti-shob-rosiya-ne-mala-zhodnogo-u-75201,0,7,7,none,none,none,none,no
4ed7fa57bad1,Розв'язана Росією війна проти України впливає на глобальну ситуацію – звернення Президента України до співтовариства Foreign Policy Community of Indonesia (FPC),2022-05-27,https://www.president.gov.ua/news/rozvyazana-rosiyeyu-vijna-proti-ukrayini-vplivaye-na-globaln-75401,0,16,16,none,none,none,none,no
c20c745c37ac,"Російська армія може перестати вбивати, якщо одна людина в Москві віддасть такий наказ, і відсутність такого наказу є приниженням для всього світу – звернення Президента України",2022-06-04,https://www.president.gov.ua/news/rosijska-armiya-mozhe-perestati-vbivati-yaksho-odna-lyudina-75605,0,14,14,none,none,none,none,no
035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,0,6,6,none,none,none,none,no
28b3c4147d17,"Офіційно визнано: Україна – це майбутній рівний партнер для 27 країн ЄС – звернення Президента, Голови Верховної Ради та Прем’єр-міністра",2022-06-24,https://www.president.gov.ua/news/oficijno-viznano-ukrayina-ce-majbutnij-rivnij-partner-dlya-2-76029,0,5,5,none,none,none,none,no
6b7e723f64e9,Звернення Президента Володимира Зеленського з нагоди Дня Конституції України,2022-06-28,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-z-nagodi-dnya-ko-76093,0,14,14,none,none,none,none,no
f16517dae2d7,"Немає й не може бути жодної умови, за якої будь-який російський удар по Україні стає виправданим – звернення Президента Володимира Зеленського",2022-08-04,https://www.president.gov.ua/news/nemaye-j-ne-mozhe-buti-zhodnoyi-umovi-za-yakoyi-bud-yakij-ro-76889,0,7,7,none,none,none,none,no
e7ad0869eb82,"З Криму все почалося, ним і завершиться – потрібно звільнити півострів з-під окупації – промова Президента України на відкритті другого саміту Кримської платформи",2022-08-23,https://www.president.gov.ua/news/z-krimu-vse-pochalosya-nim-i-zavershitsya-potribno-zvilniti-77237,0,19,19,none,none,none,none,no
35e6c262e7b5,"Нам потрібна ваша підтримка, щоб прискорити настання миру – звернення Президента України до учасників сесії Генеральної асамблеї Організації американських держав (ОАД), яка триває в Лімі",2022-10-06,https://www.president.gov.ua/news/nam-potribna-vasha-pidtrimka-shob-priskoriti-nastannya-miru-78305,0,10,10,none,none,none,none,no
e9f8e1ee76b7,Ми підготували номінаційне досьє Одеси для включення до списку Всесвітньої спадщини – звернення Президента України до учасників 215-ї сесії Виконавчої ради ЮНЕСКО,2022-10-11,https://www.president.gov.ua/news/mi-pidgotuvali-nominacijne-dosye-odesi-dlya-vklyuchennya-do-78421,0,3,3,none,none,none,none,no
48650e6cdb63,Звернення Президента Володимира Зеленського з нагоди Дня захисників і захисниць України,2022-10-14,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-z-nagodi-dnya-za-78485,0,13,13,none,none,none,none,no
059af37e0463,Повернення українського прапора в Крим означатиме відродження справжнього миру – виступ Президента на першому парламентському саміті Кримської платформи,2022-10-25,https://www.president.gov.ua/news/povernennya-ukrayinskogo-prapora-v-krim-oznachatime-vidrodzh-78697,0,12,12,none,none,none,none,no
72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,16,10,26,both; material; ontological,Moscow_Patriarchate; Russia; UOC-MP,ban; other; property_transfer; sanctions,nation; state,yes
c9eb6e3f5f07,Вітання Президента України з Різдвом Христовим,2023-01-06,https://www.president.gov.ua/news/vitannya-prezidenta-ukrayini-z-rizdvom-hristovim-80261,0,3,3,none,none,none,none,no
68e5fe347a9e,"Дуже важливо, що у Києво-Печерській лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну – звернення Президента Володимира Зеленського",2023-01-07,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-u-kiyevo-pecherskij-lavri-sogodni-prozvuc-80277,5,6,11,material; ontological,Moscow_Patriarchate; UOC-MP,property_transfer; sanctions,church_independence; nation; state,yes
4622f81c7ed4,Нам в Україні потрібно говорити в один голос зі світом щодо постачання для оборони та посилювати тиск на Росію – звернення Президента Володимира Зеленського,2023-02-02,https://www.president.gov.ua/news/nam-v-ukrayini-potribno-govoriti-v-odin-golos-zi-svitom-shod-80753,0,9,9,none,none,none,none,no
a92886099546,"Дуже важливо, що попри весь тиск на наші сили лінія фронту не зазнала змін – звернення Президента України",2023-02-21,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-popri-ves-tisk-na-nashi-sili-liniya-front-81153,0,12,12,none,none,none,none,no
bbe72d41a03f,"Зараз час, коли всі історичні складнощі для України можемо перемогти, якщо будемо берегти нашу єдність – звернення Президента України",2023-03-12,https://www.president.gov.ua/news/zaraz-chas-koli-vsi-istorichni-skladnoshi-dlya-ukrayini-mozh-81581,4,5,9,both; ontological,Russia,property_transfer,church_independence; nation,yes
9e18ffdfcc12,"Щоб перемогти тиранію, потрібне більше єднання; демократичний світ здатен його досягти – звернення Володимира Зеленського",2023-03-29,https://www.president.gov.ua/news/shob-peremogti-tiraniyu-potribne-bilshe-yednannya-demokratic-81929,2,6,8,ontological,Moscow_Patriarchate,ban,nation,yes
dbc0cec4a560,"Ворог свободи має програти, ось чому ми звертаємося по підтримку до Сполучених Штатів – виступ Президента України на зустрічі з членами Національної асоціації губернаторів США",2023-04-04,https://www.president.gov.ua/news/vorog-svobodi-maye-prograti-os-chomu-mi-zvertayemosya-po-pid-82085,0,7,7,none,none,none,none,no
fa3a972f8496,"Мир має стати безальтернативним, саме тому зло має програти – виступ Президента України перед Генеральним конгресом Мексики",2023-04-21,https://www.president.gov.ua/news/mir-maye-stati-bezalternativnim-same-tomu-zlo-maye-prograti-82401,0,12,12,none,none,none,none,no
a8e1f6245df9,"Кожен прояв російського терору – це додаткові аргументи, що все має завершитись у трибуналі – звернення Президента України",2023-04-25,https://www.president.gov.ua/news/kozhen-proyav-rosijskogo-teroru-ce-dodatkovi-argumenti-sho-v-82481,0,16,16,none,none,none,none,no
1c3a4f3260a8,"Перший же український F-16 стане одним із найсильніших сигналів від світу, що Росія лише втрачатиме – звернення Президента України",2023-05-24,https://www.president.gov.ua/news/pershij-zhe-ukrayinskij-f-16-stane-odnim-iz-najsilnishih-sig-83129,0,5,5,none,none,none,none,no
502053d833af,"Усі 462 доби ми б’ємося за наше майбутнє, а значить – за наших дітей, за їхню волю та їхню долю – виступ Президента України на конференції «UA: Війна. Недоспівана колискова» з нагоди Міжнародного дня захисту дітей",2023-05-31,https://www.president.gov.ua/news/usi-462-dobi-mi-byemosya-za-nashe-majbutnye-znachit-za-nashi-83269,0,8,8,none,none,none,none,no
0a24f51a8267,"Підтримуючи Україну, світ підтримує захист від війни, бо джерело агресії – поза нашими кордонами – звернення Володимира Зеленського до Федеральних зборів та народу Швейцарської Конфедерації",2023-06-15,https://www.president.gov.ua/news/pidtrimuyuchi-ukrayinu-svit-pidtrimuye-zahist-vid-vijni-bo-d-83613,0,10,10,none,none,none,none,no
69628732bc90,Безпека – перший пріоритет – звернення Президента України за підсумками засідання РНБО,2023-06-23,https://www.president.gov.ua/news/bezpeka-pershij-prioritet-zvernennya-prezidenta-ukrayini-za-83769,0,3,3,none,none,none,none,no
efbad3182c3d,"Цінуємо кожне життя, пам’ятаємо історію і разом захищаємо свободу – звернення Президента України",2023-07-09,https://www.president.gov.ua/news/cinuyemo-kozhne-zhittya-pamyatayemo-istoriyu-i-razom-zahisha-84229,0,5,5,none,none,none,none,no
9161232dd76f,"Ми не можемо залишити жодного міста й села в російській окупації, яка несе насильство й приниження людей – звернення Президента України",2023-07-15,https://www.president.gov.ua/news/mi-ne-mozhemo-zalishiti-zhodnogo-mista-j-sela-v-rosijskij-ok-84357,0,2,2,none,none,none,none,no
8459a7bbdd89,Покарати Росію за терор – це історичне завдання сучасного покоління лідерів світу – звернення  Президента України,2023-07-18,https://www.president.gov.ua/news/pokarati-rosiyu-za-teror-ce-istorichne-zavdannya-suchasnogo-84409,3,6,9,ontological,Russia,other,nation,yes
4dac2b8b3658,"Поступово війна повертається на територію Росії, і це неминучий, природний та справедливий процес – звернення Президента України",2023-07-30,https://www.president.gov.ua/news/postupovo-vijna-povertayetsya-na-teritoriyu-rosiyi-i-ce-nemi-84621,0,4,4,none,none,none,none,no
e789488d85c4,Закарпаття буде одним із драйверів розвитку для всієї України – звернення Президента Володимира Зеленського,2023-08-02,https://www.president.gov.ua/news/zakarpattya-bude-odnim-iz-drajveriv-rozvitku-dlya-vsiyeyi-uk-84693,0,5,5,none,none,none,none,no
54cfad66561e,Завдання у всіх в Україні – збільшувати потенціал наших можливостей на фронті та послаблювати окупантів – звернення Президента Володимира Зеленського,2023-08-09,https://www.president.gov.ua/news/zavdannya-u-vsih-v-ukrayini-zbilshuvati-potencial-nashih-moz-84805,0,3,3,none,none,none,none,no
3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,5,9,14,material; ontological,Moscow_Patriarchate; Russia,ban,nation; state,yes
01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,0,6,6,none,none,none,none,no
d137d9236df2,"Виступ Президента й першої леді України перед представниками урядових і ділових кіл США, пресою та українською громадою",2023-09-19,https://www.president.gov.ua/news/vistup-prezidenta-j-pershoyi-ledi-ukrayini-pered-predstavnik-85817,2,9,11,ontological,Russia,none,identity,yes
8e7177336953,Звернення Президента Володимира Зеленського з нагоди Дня захисників і захисниць України,2023-10-01,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-z-nagodi-dnya-za-85993,0,14,14,none,none,none,none,no
9c784594e39a,"Щоб у майбутньому у Європі не було війни, наша єдність має спрацювати на повну силу – виступ Президента України на інавгураційній пленарній сесії ІІІ саміту Європейської політичної спільноти",2023-10-05,https://www.president.gov.ua/news/shob-u-majbutnomu-u-yevropi-ne-bulo-vijni-nasha-yednist-maye-86117,0,11,11,none,none,none,none,no
889d490f1d4a,Привітання Президента України Володимира Зеленського з Різдвом Христовим,2023-12-24,https://www.president.gov.ua/news/privitannya-prezidenta-ukrayini-volodimira-zelenskogo-z-rizd-87981,2,5,7,ontological,Moscow_Patriarchate,none,nation,yes
9411e1b166a6,"Продовжимо посилювати нашу ППО і працювати над тим, щоб повернути війну назад у Росію – звернення Президента України",2023-12-29,https://www.president.gov.ua/news/prodovzhimo-posilyuvati-nashu-ppo-i-pracyuvati-nad-tim-shob-88025,0,2,2,none,none,none,none,no
1092f016762c,Більше систем ППО та засобів ураження російської авіації означає ближчий мир – звернення Президента України,2024-03-10,https://www.president.gov.ua/news/bilshe-sistem-ppo-ta-zasobiv-urazhennya-rosijskoyi-aviaciyi-89621,0,6,6,none,none,none,none,no
67f531b56cda,"Системи ППО, які є у світі, не можуть просто припадати пилом десь на базах, коли вони можуть урятувати тисячі життів від російського терору – звернення Президента",2024-04-02,https://www.president.gov.ua/news/sistemi-ppo-yaki-ye-u-sviti-ne-mozhut-prosto-pripadati-pilom-90005,0,9,9,none,none,none,none,no
412c228275a0,"Сьогодні день, коли світ починає наближати справедливий мир – виступ Президента України на першому пленарному засіданні Глобального саміту миру",2024-06-15,https://www.president.gov.ua/news/sogodni-den-koli-svit-pochinaye-nablizhati-spravedlivij-mir-91561,0,13,13,none,none,none,none,no
c04e99805873,"Ми бачимо, як рішучість світу відкриває нові перспективи для відновлення нашої безпеки – звернення Президента",2024-06-18,https://www.president.gov.ua/news/mi-bachimo-yak-rishuchist-svitu-vidkrivaye-novi-perspektivi-91641,0,7,7,none,none,none,none,no
5a2af7ed8186,Звернення Президента України до учасників Національного молитовного сніданку,2024-06-29,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-do-uchasnikiv-nacionalnogo-mo-91873,0,9,9,none,none,none,none,no
762362c7a4a1,Готуємо нові рішення заради нашої сили й заради захисту наших людей – звернення Президента,2024-06-29,https://www.president.gov.ua/news/gotuyemo-novi-rishennya-zaradi-nashoyi-sili-j-zaradi-zahistu-91885,0,8,8,none,none,none,none,no
d16210c4d3a2,"Запрошую вас будувати зв'язки між людьми, які триватимуть завжди – виступ Президента України під час зустрічі Національної асоціації губернаторів США",2024-07-09,https://www.president.gov.ua/news/zaproshuyu-vas-buduvati-zvyazki-mizh-lyudmi-yaki-trivatimut-92153,0,4,4,none,none,none,none,no
92c1898797ce,Маємо максимально завдавати ураження всім російським позиціям і робимо це – звернення Президента,2024-08-16,https://www.president.gov.ua/news/mayemo-maksimalno-zavdavati-urazhennya-vsim-rosijskim-pozici-92637,4,7,11,both; ontological,Moscow_Patriarchate,ban,church_independence; nation,yes
4aaca8be34af,Обговорили з партнерами роботу щодо ППО – нових систем для України; готуємо посилення – звернення Президента,2024-08-20,https://www.president.gov.ua/news/obgovorili-z-partnerami-robotu-shodo-ppo-novih-sistem-dlya-u-92713,2,5,7,ontological,Moscow_Patriarchate,ban,nation,yes
450b39452fe6,"Потрібно, щоб кошти від активів агресора працювали на реальну допомогу захисту від агресора – звернення Президента",2024-08-21,https://www.president.gov.ua/news/potribno-shob-koshti-vid-aktiviv-agresora-pracyuvali-na-real-92733,2,6,8,ontological,Moscow_Patriarchate,ban,nation,yes
49293ef4ff5e,За цей тиждень ми додали Україні нових домовленостей щодо зброї – звернення Президента,2024-10-12,https://www.president.gov.ua/news/za-cej-tizhden-mi-dodali-ukrayini-novih-domovlenostej-shodo-93817,4,9,13,ontological,Russia,none,nation,yes
1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,10,58,68,both; ontological,Moscow_Patriarchate; UOC-MP,ban,nation; state,yes
e1e118649ab3,"Ми всі бачимо, зокрема, як мало світ реагує на те, що в Росії роблять з українськими полоненими – звернення Президента до правозахисної спільноти",2024-12-05,https://www.president.gov.ua/news/mi-vsi-bachimo-zokrema-yak-malo-svit-reaguye-na-te-sho-v-ros-94817,0,2,2,none,none,none,none,no
d737ea63f60a,"Ми повинні зробити все, щоб 25-й рік став для України роком миру – виступ Президента з нагоди Дня дипломата",2024-12-22,https://www.president.gov.ua/news/mi-povinni-zrobiti-vse-shob-25-j-rik-stav-dlya-ukrayini-roko-95169,0,6,6,none,none,none,none,no
b9c67325cd9a,"Продовжуємо нашу роботу заради об’єднання абсолютно всіх, хто може реально допомогти, хто може зміцнити дипломатію та наблизити мир – звернення Президента",2025-03-14,https://www.president.gov.ua/news/prodovzhuyemo-nashu-robotu-zaradi-obyednannya-absolyutno-vsi-96609,0,6,6,none,none,none,none,no
9a781542268c,Європі потрібна швидкість в ухваленні рішень і чіткі інструменти для захисту від непотрібних блокувань – виступ Президента на засіданні Євроради,2025-03-20,https://www.president.gov.ua/news/yevropi-potribna-shvidkist-v-uhvalenni-rishen-i-chitki-instr-96761,0,15,15,none,none,none,none,no
cdd59d665b91,Привітання Президента України з Великоднем,2025-04-20,https://www.president.gov.ua/news/privitannya-prezidenta-ukrayini-z-velikodnem-97285,0,4,4,none,none,none,none,no
7fa17a24c64c,Звернення Президента до учасників саміту Міжнародної коаліції за повернення українських дітей на рівні лідерів,2025-09-23,https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-samitu-mizhnarodnoyi-koa-100285,2,4,6,ontological,Russia,none,identity,yes
98d3802ff4c7,Заява Президента України під час спільного з Президентом Туреччини спілкування з журналістами,2025-11-19,https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-prezidentom-t-101465,0,10,10,none,none,none,none,no
cbf37bb2cb1b,"Є деякі наші нові ідеї, як наблизити реальний мир, і це стосується форматів, зустрічей, таймінгу – звернення Президента",2025-12-25,https://www.president.gov.ua/news/ye-deyaki-nashi-novi-ideyi-yak-nabliziti-realnij-mir-i-ce-st-102201,0,2,2,none,none,none,none,no
